FIPS,COUNTY,STABRV,STATE,PROVIDERS
"05087",Madison County,AR,Arkansas,"1"
"13021",Bibb County,GA,Georgia,"1"
"17115",Macon County,IL,Illinois,"1"
"18055",Greene County,IN,Indiana,"1"
"26165",Wexford County,MI,Michigan,"0"
"27005",Becker County,MN,Minnesota,"0"
"28115",Pontotoc County,MS,Mississippi,"0"
"30007",Broadwater County,MT,Montana,"1"
"31003",Antelope County,NE,Nebraska,"0"
"36069",Ontario County,NY,New York,"3"
"47075",Haywood County,TN,Tennessee,"0"
"51840",Winchester city,VA,Virginia,"1"
"51640",Galax city,VA,Virginia,"0"
"53007",Chelan County,WA,Washington,"1"
"55073",Marathon County,WI,Wisconsin,"0"
"48367",Parker County,TX,Texas,"2"
"39045",Fairfield County,OH,Ohio,"2"
"01107",Pickens County,AL,Alabama,"0"
"13215",Muscogee County,GA,Georgia,"0"
"21191",Pendleton County,KY,Kentucky,"0"
"05129",Searcy County,AR,Arkansas,"0"
"31067",Gage County,NE,Nebraska,"0"
"37007",Anson County,NC,North Carolina,"0"
"46021",Campbell County,SD,South Dakota,"0"
"08121",Washington County,CO,Colorado,"0"
"18041",Fayette County,IN,Indiana,"0"
"20115",Marion County,KS,Kansas,"0"
"19047",Crawford County,IA,Iowa,"0"
"26119",Montmorency County,MI,Michigan,"0"
"28107",Panola County,MS,Mississippi,"0"
"29109",Lawrence County,MO,Missouri,"1"
"28065",Jefferson Davis County,MS,Mississippi,"0"
"31109",Lancaster County,NE,Nebraska,"5"
"38045",LaMoure County,ND,North Dakota,"0"
"47101",Lewis County,TN,Tennessee,"0"
"48107",Crosby County,TX,Texas,"0"
"55135",Waupaca County,WI,Wisconsin,"0"
"20083",Hodgeman County,KS,Kansas,"0"
"20061",Geary County,KS,Kansas,"1"
"26017",Bay County,MI,Michigan,"0"
"19015",Boone County,IA,Iowa,"0"
"13291",Union County,GA,Georgia,"0"
"26139",Ottawa County,MI,Michigan,"3"
"28003",Alcorn County,MS,Mississippi,"0"
"41055",Sherman County,OR,Oregon,"0"
"46063",Harding County,SD,South Dakota,"0"
"51520",Bristol city,VA,Virginia,"0"
"05053",Grant County,AR,Arkansas,"0"
"08105",Rio Grande County,CO,Colorado,"0"
"17089",Kane County,IL,Illinois,"24"
"18093",Lawrence County,IN,Indiana,"1"
"19091",Humboldt County,IA,Iowa,"0"
"29075",Gentry County,MO,Missouri,"0"
"31175",Valley County,NE,Nebraska,"0"
"31117",McPherson County,NE,Nebraska,"0"
"40077",Latimer County,OK,Oklahoma,"0"
"48019",Bandera County,TX,Texas,"1"
"48269",King County,TX,Texas,"0"
"54021",Gilmer County,WV,West Virginia,"0"
"55133",Waukesha County,WI,Wisconsin,"2"
"18137",Ripley County,IN,Indiana,"0"
"36123",Yates County,NY,New York,"0"
"31077",Greeley County,NE,Nebraska,"0"
"28081",Lee County,MS,Mississippi,"0"
"06053",Monterey County,CA,California,"4"
"13087",Decatur County,GA,Georgia,"0"
"21047",Christian County,KY,Kentucky,"1"
"26091",Lenawee County,MI,Michigan,"1"
"28091",Marion County,MS,Mississippi,"0"
"37171",Surry County,NC,North Carolina,"0"
"38083",Sheridan County,ND,North Dakota,"0"
"55079",Milwaukee County,WI,Wisconsin,"9"
"12107",Putnam County,FL,Florida,"1"
"17081",Jefferson County,IL,Illinois,"1"
"18113",Noble County,IN,Indiana,"1"
"19125",Marion County,IA,Iowa,"1"
"26067",Ionia County,MI,Michigan,"0"
"26015",Barry County,MI,Michigan,"0"
"27039",Dodge County,MN,Minnesota,"0"
"29063",DeKalb County,MO,Missouri,"0"
"31081",Hamilton County,NE,Nebraska,"0"
"46025",Clark County,SD,South Dakota,"0"
"46057",Hamlin County,SD,South Dakota,"0"
"48353",Nolan County,TX,Texas,"0"
"48493",Wilson County,TX,Texas,"0"
"55033",Dunn County,WI,Wisconsin,"3"
"22061",Lincoln Parish,LA,Louisiana,"0"
"19069",Franklin County,IA,Iowa,"0"
"31179",Wayne County,NE,Nebraska,"0"
"12019",Clay County,FL,Florida,"1"
"39055",Geauga County,OH,Ohio,"0"
"29115",Linn County,MO,Missouri,"0"
"17065",Hamilton County,IL,Illinois,"0"
"46111",Sanborn County,SD,South Dakota,"0"
"19141",O'Brien County,IA,Iowa,"0"
"53053",Pierce County,WA,Washington,"8"
"19159",Ringgold County,IA,Iowa,"0"
"19165",Shelby County,IA,Iowa,"0"
"19169",Story County,IA,Iowa,"0"
"17117",Macoupin County,IL,Illinois,"0"
"55078",Menominee County,WI,Wisconsin,"0"
"17123",Marshall County,IL,Illinois,"0"
"19187",Webster County,IA,Iowa,"0"
"47069",Hardeman County,TN,Tennessee,"0"
"55087",Outagamie County,WI,Wisconsin,"4"
"19003",Adams County,IA,Iowa,"0"
"19011",Benton County,IA,Iowa,"1"
"47023",Chester County,TN,Tennessee,"0"
"20107",Linn County,KS,Kansas,"0"
"19041",Clay County,IA,Iowa,"0"
"47139",Polk County,TN,Tennessee,"0"
"20169",Saline County,KS,Kansas,"2"
"18177",Wayne County,IN,Indiana,"0"
"04007",Gila County,AZ,Arizona,"0"
"23003",Aroostook County,ME,Maine,"0"
"31113",Logan County,NE,Nebraska,"0"
"48357",Ochiltree County,TX,Texas,"0"
"18045",Fountain County,IN,Indiana,"0"
"19095",Iowa County,IA,Iowa,"0"
"46043",Douglas County,SD,South Dakota,"0"
"40081",Lincoln County,OK,Oklahoma,"1"
"55015",Calumet County,WI,Wisconsin,"0"
"48375",Potter County,TX,Texas,"0"
"47015",Cannon County,TN,Tennessee,"0"
"29053",Cooper County,MO,Missouri,"5"
"27153",Todd County,MN,Minnesota,"0"
"29057",Dade County,MO,Missouri,"0"
"17017",Cass County,IL,Illinois,"1"
"30053",Lincoln County,MT,Montana,"6"
"47001",Anderson County,TN,Tennessee,"1"
"31013",Box Butte County,NE,Nebraska,"1"
"13247",Rockdale County,GA,Georgia,"1"
"20135",Ness County,KS,Kansas,"0"
"48111",Dallam County,TX,Texas,"0"
"18161",Union County,IN,Indiana,"0"
"29221",Washington County,MO,Missouri,"0"
"29121",Macon County,MO,Missouri,"0"
"29125",Maries County,MO,Missouri,"0"
"19151",Pocahontas County,IA,Iowa,"0"
"51149",Prince George County,VA,Virginia,"0"
"51683",Manassas city,VA,Virginia,"0"
"39019",Carroll County,OH,Ohio,"0"
"38017",Cass County,ND,North Dakota,"5"
"27105",Nobles County,MN,Minnesota,"0"
"26161",Washtenaw County,MI,Michigan,"10"
"51167",Russell County,VA,Virginia,"0"
"05027",Columbia County,AR,Arkansas,"0"
"39065",Hardin County,OH,Ohio,"0"
"33007",Coos County,NH,New Hampshire,"0"
"27151",Swift County,MN,Minnesota,"0"
"39069",Henry County,OH,Ohio,"0"
"26073",Isabella County,MI,Michigan,"1"
"27085",McLeod County,MN,Minnesota,"0"
"02195",Petersburg Borough,AK,Alaska,"0"
"39079",Jackson County,OH,Ohio,"0"
"48163",Frio County,TX,Texas,"0"
"37025",Cabarrus County,NC,North Carolina,"4"
"38039",Griggs County,ND,North Dakota,"0"
"39083",Knox County,OH,Ohio,"0"
"42117",Tioga County,PA,Pennsylvania,"0"
"31011",Boone County,NE,Nebraska,"0"
"51191",Washington County,VA,Virginia,"0"
"20001",Allen County,KS,Kansas,"0"
"20011",Bourbon County,KS,Kansas,"0"
"48133",Eastland County,TX,Texas,"0"
"48095",Concho County,TX,Texas,"0"
"26037",Clinton County,MI,Michigan,"6"
"20031",Coffey County,KS,Kansas,"0"
"17029",Coles County,IL,Illinois,"0"
"19067",Floyd County,IA,Iowa,"0"
"19081",Hancock County,IA,Iowa,"0"
"20079",Harvey County,KS,Kansas,"0"
"48121",Denton County,TX,Texas,"13"
"19195",Worth County,IA,Iowa,"0"
"20133",Neosho County,KS,Kansas,"0"
"26075",Jackson County,MI,Michigan,"0"
"48125",Dickens County,TX,Texas,"0"
"49031",Piute County,UT,Utah,"0"
"27033",Cottonwood County,MN,Minnesota,"0"
"26085",Lake County,MI,Michigan,"0"
"27067",Kandiyohi County,MN,Minnesota,"0"
"26107",Mecosta County,MI,Michigan,"0"
"27159",Wadena County,MN,Minnesota,"0"
"55055",Jefferson County,WI,Wisconsin,"0"
"26117",Montcalm County,MI,Michigan,"0"
"26123",Newaygo County,MI,Michigan,"1"
"26127",Oceana County,MI,Michigan,"0"
"27065",Kanabec County,MN,Minnesota,"0"
"17049",Effingham County,IL,Illinois,"0"
"17055",Franklin County,IL,Illinois,"0"
"48129",Donley County,TX,Texas,"0"
"40047",Garfield County,OK,Oklahoma,"0"
"27019",Carver County,MN,Minnesota,"5"
"46013",Brown County,SD,South Dakota,"0"
"46005",Beadle County,SD,South Dakota,"0"
"25025",Suffolk County,MA,Massachusetts,"19"
"47017",Carroll County,TN,Tennessee,"1"
"48009",Archer County,TX,Texas,"0"
"48013",Atascosa County,TX,Texas,"0"
"46079",Lake County,SD,South Dakota,"2"
"46019",Butte County,SD,South Dakota,"1"
"47067",Hancock County,TN,Tennessee,"0"
"46061",Hanson County,SD,South Dakota,"0"
"46077",Kingsbury County,SD,South Dakota,"0"
"46073",Jerauld County,SD,South Dakota,"0"
"25003",Berkshire County,MA,Massachusetts,"2"
"17063",Grundy County,IL,Illinois,"1"
"29085",Hickory County,MO,Missouri,"0"
"29173",Ralls County,MO,Missouri,"0"
"27083",Lyon County,MN,Minnesota,"1"
"48251",Johnson County,TX,Texas,"2"
"29007",Audrain County,MO,Missouri,"0"
"55097",Portage County,WI,Wisconsin,"0"
"47179",Washington County,TN,Tennessee,"3"
"48047",Brooks County,TX,Texas,"0"
"51013",Arlington County,VA,Virginia,"11"
"55119",Taylor County,WI,Wisconsin,"0"
"25011",Franklin County,MA,Massachusetts,"1"
"30069",Petroleum County,MT,Montana,"0"
"30097",Sweet Grass County,MT,Montana,"0"
"41043",Linn County,OR,Oregon,"2"
"53059",Skamania County,WA,Washington,"1"
"42123",Warren County,PA,Pennsylvania,"0"
"48191",Hall County,TX,Texas,"0"
"29209",Stone County,MO,Missouri,"2"
"31023",Butler County,NE,Nebraska,"0"
"51197",Wythe County,VA,Virginia,"0"
"29175",Randolph County,MO,Missouri,"0"
"38091",Steele County,ND,North Dakota,"0"
"51530",Buena Vista city,VA,Virginia,"0"
"29161",Phelps County,MO,Missouri,"0"
"29177",Ray County,MO,Missouri,"0"
"51660",Harrisonburg city,VA,Virginia,"0"
"51690",Martinsville city,VA,Virginia,"0"
"19001",Adair County,IA,Iowa,"0"
"20173",Sedgwick County,KS,Kansas,"3"
"13023",Bleckley County,GA,Georgia,"0"
"17105",Livingston County,IL,Illinois,"0"
"39109",Miami County,OH,Ohio,"0"
"48283",La Salle County,TX,Texas,"0"
"19065",Fayette County,IA,Iowa,"0"
"39113",Montgomery County,OH,Ohio,"3"
"17121",Marion County,IL,Illinois,"1"
"39117",Morrow County,OH,Ohio,"0"
"16037",Custer County,ID,Idaho,"1"
"19089",Howard County,IA,Iowa,"0"
"20127",Morris County,KS,Kansas,"0"
"16081",Teton County,ID,Idaho,"0"
"13059",Clarke County,GA,Georgia,"1"
"19137",Montgomery County,IA,Iowa,"0"
"02100",Haines Borough,AK,Alaska,"0"
"05123",St. Francis County,AR,Arkansas,"0"
"55053",Jackson County,WI,Wisconsin,"0"
"55085",Oneida County,WI,Wisconsin,"0"
"02122",Kenai Peninsula Borough,AK,Alaska,"1"
"02150",Kodiak Island Borough,AK,Alaska,"0"
"27095",Mille Lacs County,MN,Minnesota,"0"
"27125",Red Lake County,MN,Minnesota,"1"
"27137",St. Louis County,MN,Minnesota,"5"
"42075",Lebanon County,PA,Pennsylvania,"2"
"42039",Crawford County,PA,Pennsylvania,"1"
"39049",Franklin County,OH,Ohio,"14"
"16085",Valley County,ID,Idaho,"0"
"17175",Stark County,IL,Illinois,"0"
"08115",Sedgwick County,CO,Colorado,"0"
"19157",Poweshiek County,IA,Iowa,"0"
"19161",Sac County,IA,Iowa,"0"
"48393",Roberts County,TX,Texas,"0"
"48399",Runnels County,TX,Texas,"0"
"48421",Sherman County,TX,Texas,"0"
"17191",Wayne County,IL,Illinois,"0"
"19107",Keokuk County,IA,Iowa,"1"
"17199",Williamson County,IL,Illinois,"0"
"06105",Trinity County,CA,California,"1"
"13139",Hall County,GA,Georgia,"4"
"39169",Wayne County,OH,Ohio,"1"
"12051",Hendry County,FL,Florida,"0"
"39033",Crawford County,OH,Ohio,"0"
"39047",Fayette County,OH,Ohio,"0"
"39059",Guernsey County,OH,Ohio,"0"
"48483",Wheeler County,TX,Texas,"0"
"48501",Yoakum County,TX,Texas,"0"
"48503",Young County,TX,Texas,"0"
"48507",Zavala County,TX,Texas,"0"
"48011",Armstrong County,TX,Texas,"0"
"13113",Fayette County,GA,Georgia,"1"
"48211",Hemphill County,TX,Texas,"0"
"13279",Toombs County,GA,Georgia,"0"
"19035",Cherokee County,IA,Iowa,"0"
"40097",Mayes County,OK,Oklahoma,"1"
"19017",Bremer County,IA,Iowa,"0"
"17091",Kankakee County,IL,Illinois,"1"
"40105",Nowata County,OK,Oklahoma,"0"
"06079",San Luis Obispo County,CA,California,"8"
"27165",Watonwan County,MN,Minnesota,"0"
"39005",Ashland County,OH,Ohio,"0"
"40111",Okmulgee County,OK,Oklahoma,"0"
"30033",Garfield County,MT,Montana,"0"
"27109",Olmsted County,MN,Minnesota,"2"
"31005",Arthur County,NE,Nebraska,"0"
"29159",Pettis County,MO,Missouri,"1"
"31049",Deuel County,NE,Nebraska,"0"
"27121",Pope County,MN,Minnesota,"4"
"13125",Glascock County,GA,Georgia,"0"
"06071",San Bernardino County,CA,California,"9"
"41065",Wasco County,OR,Oregon,"0"
"48221",Hood County,TX,Texas,"0"
"17087",Johnson County,IL,Illinois,"0"
"12027",DeSoto County,FL,Florida,"0"
"06069",San Benito County,CA,California,"1"
"18087",LaGrange County,IN,Indiana,"0"
"19025",Calhoun County,IA,Iowa,"0"
"16001",Ada County,ID,Idaho,"6"
"29229",Wright County,MO,Missouri,"0"
"39099",Mahoning County,OH,Ohio,"1"
"18141",St. Joseph County,IN,Indiana,"3"
"08057",Jackson County,CO,Colorado,"0"
"01061",Geneva County,AL,Alabama,"1"
"40011",Blaine County,OK,Oklahoma,"0"
"51735",Poquoson city,VA,Virginia,"1"
"40015",Caddo County,OK,Oklahoma,"0"
"48305",Lynn County,TX,Texas,"0"
"29065",Dent County,MO,Missouri,"0"
"48327",Menard County,TX,Texas,"0"
"29153",Ozark County,MO,Missouri,"0"
"40137",Stephens County,OK,Oklahoma,"0"
"48431",Sterling County,TX,Texas,"0"
"36011",Cayuga County,NY,New York,"2"
"48253",Jones County,TX,Texas,"0"
"41015",Curry County,OR,Oregon,"1"
"08119",Teller County,CO,Colorado,"3"
"48259",Kendall County,TX,Texas,"0"
"48257",Kaufman County,TX,Texas,"2"
"20019",Chautauqua County,KS,Kansas,"0"
"05047",Franklin County,AR,Arkansas,"0"
"48379",Rains County,TX,Texas,"0"
"42115",Susquehanna County,PA,Pennsylvania,"0"
"31071",Garfield County,NE,Nebraska,"0"
"36057",Montgomery County,NY,New York,"1"
"36053",Madison County,NY,New York,"0"
"36107",Tioga County,NY,New York,"1"
"40029",Coal County,OK,Oklahoma,"0"
"48291",Liberty County,TX,Texas,"1"
"01103",Morgan County,AL,Alabama,"1"
"51079",Greene County,VA,Virginia,"0"
"39009",Athens County,OH,Ohio,"0"
"01131",Wilcox County,AL,Alabama,"0"
"54013",Calhoun County,WV,West Virginia,"0"
"28043",Grenada County,MS,Mississippi,"0"
"28097",Montgomery County,MS,Mississippi,"0"
"28133",Sunflower County,MS,Mississippi,"0"
"48235",Irion County,TX,Texas,"0"
"49027",Millard County,UT,Utah,"0"
"48021",Bastrop County,TX,Texas,"0"
"13003",Atkinson County,GA,Georgia,"0"
"13313",Whitfield County,GA,Georgia,"0"
"28067",Jones County,MS,Mississippi,"0"
"13069",Coffee County,GA,Georgia,"0"
"55045",Green County,WI,Wisconsin,"0"
"32510",Carson City,NV,Nevada,"0"
"19127",Marshall County,IA,Iowa,"0"
"17057",Fulton County,IL,Illinois,"0"
"26025",Calhoun County,MI,Michigan,"1"
"29139",Montgomery County,MO,Missouri,"0"
"27017",Carlton County,MN,Minnesota,"0"
"37061",Duplin County,NC,North Carolina,"0"
"27029",Clearwater County,MN,Minnesota,"0"
"47051",Franklin County,TN,Tennessee,"0"
"02180",Nome Census Area,AK,Alaska,"0"
"38007",Billings County,ND,North Dakota,"0"
"20159",Rice County,KS,Kansas,"0"
"26051",Gladwin County,MI,Michigan,"0"
"38049",McHenry County,ND,North Dakota,"0"
"17187",Warren County,IL,Illinois,"0"
"51145",Powhatan County,VA,Virginia,"4"
"01005",Barbour County,AL,Alabama,"0"
"20051",Ellis County,KS,Kansas,"0"
"20141",Osborne County,KS,Kansas,"0"
"17079",Jasper County,IL,Illinois,"0"
"26049",Genesee County,MI,Michigan,"0"
"31039",Cuming County,NE,Nebraska,"0"
"38041",Hettinger County,ND,North Dakota,"0"
"55035",Eau Claire County,WI,Wisconsin,"3"
"18003",Allen County,IN,Indiana,"5"
"20085",Jackson County,KS,Kansas,"0"
"02158",Kusilvak Census Area,AK,Alaska,"0"
"19031",Cedar County,IA,Iowa,"0"
"19087",Henry County,IA,Iowa,"0"
"19171",Tama County,IA,Iowa,"0"
"18067",Howard County,IN,Indiana,"1"
"39091",Logan County,OH,Ohio,"2"
"51770",Roanoke city,VA,Virginia,"1"
"40021",Cherokee County,OK,Oklahoma,"1"
"16049",Idaho County,ID,Idaho,"1"
"06089",Shasta County,CA,California,"2"
"20101",Lane County,KS,Kansas,"0"
"20117",Marshall County,KS,Kansas,"0"
"20123",Mitchell County,KS,Kansas,"0"
"20143",Ottawa County,KS,Kansas,"2"
"20171",Scott County,KS,Kansas,"0"
"20195",Trego County,KS,Kansas,"0"
"22021",Caldwell Parish,LA,Louisiana,"0"
"13249",Schley County,GA,Georgia,"0"
"55103",Richland County,WI,Wisconsin,"0"
"48031",Blanco County,TX,Texas,"1"
"51720",Norton city,VA,Virginia,"0"
"29035",Carter County,MO,Missouri,"0"
"48115",Dawson County,TX,Texas,"0"
"36109",Tompkins County,NY,New York,"1"
"30029",Flathead County,MT,Montana,"8"
"54047",McDowell County,WV,West Virginia,"0"
"54033",Harrison County,WV,West Virginia,"1"
"54091",Taylor County,WV,West Virginia,"1"
"29049",Clinton County,MO,Missouri,"0"
"12005",Bay County,FL,Florida,"1"
"53033",King County,WA,Washington,"37"
"31063",Frontier County,NE,Nebraska,"0"
"08003",Alamosa County,CO,Colorado,"0"
"53037",Kittitas County,WA,Washington,"0"
"28141",Tishomingo County,MS,Mississippi,"0"
"36079",Putnam County,NY,New York,"3"
"46033",Custer County,SD,South Dakota,"0"
"01045",Dale County,AL,Alabama,"0"
"02290",Yukon-Koyukuk Census Area,AK,Alaska,"1"
"13315",Wilcox County,GA,Georgia,"0"
"28105",Oktibbeha County,MS,Mississippi,"0"
"39067",Harrison County,OH,Ohio,"0"
"48179",Gray County,TX,Texas,"0"
"48415",Scurry County,TX,Texas,"0"
"49051",Wasatch County,UT,Utah,"3"
"55039",Fond du Lac County,WI,Wisconsin,"2"
"19117",Lucas County,IA,Iowa,"0"
"31181",Webster County,NE,Nebraska,"0"
"18007",Benton County,IN,Indiana,"0"
"21223",Trimble County,KY,Kentucky,"0"
"28095",Monroe County,MS,Mississippi,"0"
"42111",Somerset County,PA,Pennsylvania,"1"
"06029",Kern County,CA,California,"3"
"17051",Fayette County,IL,Illinois,"0"
"18131",Pulaski County,IN,Indiana,"0"
"27161",Waseca County,MN,Minnesota,"0"
"29059",Dallas County,MO,Missouri,"0"
"31075",Grant County,NE,Nebraska,"0"
"48417",Shackelford County,TX,Texas,"0"
"28079",Leake County,MS,Mississippi,"0"
"26121",Muskegon County,MI,Michigan,"2"
"17111",McHenry County,IL,Illinois,"10"
"20191",Sumner County,KS,Kansas,"0"
"31065",Furnas County,NE,Nebraska,"0"
"36015",Chemung County,NY,New York,"1"
"48359",Oldham County,TX,Texas,"0"
"01079",Lawrence County,AL,Alabama,"0"
"02130",Ketchikan Gateway Borough,AK,Alaska,"0"
"13063",Clayton County,GA,Georgia,"0"
"17135",Montgomery County,IL,Illinois,"0"
"20105",Lincoln County,KS,Kansas,"0"
"27007",Beltrami County,MN,Minnesota,"0"
"31119",Madison County,NE,Nebraska,"0"
"46059",Hand County,SD,South Dakota,"0"
"48131",Duval County,TX,Texas,"0"
"48209",Hays County,TX,Texas,"7"
"06017",El Dorado County,CA,California,"2"
"48445",Terry County,TX,Texas,"0"
"20027",Clay County,KS,Kansas,"0"
"18079",Jennings County,IN,Indiana,"0"
"18043",Floyd County,IN,Indiana,"0"
"28069",Kemper County,MS,Mississippi,"0"
"38023",Divide County,ND,North Dakota,"0"
"48271",Kinney County,TX,Texas,"0"
"56001",Albany County,WY,Wyoming,"0"
"12043",Glades County,FL,Florida,"0"
"17047",Edwards County,IL,Illinois,"0"
"18057",Hamilton County,IN,Indiana,"10"
"19147",Palo Alto County,IA,Iowa,"0"
"29001",Adair County,MO,Missouri,"0"
"31151",Saline County,NE,Nebraska,"0"
"37135",Orange County,NC,North Carolina,"5"
"48267",Kimble County,TX,Texas,"0"
"13149",Heard County,GA,Georgia,"1"
"18069",Huntington County,IN,Indiana,"1"
"53069",Wahkiakum County,WA,Washington,"0"
"13287",Turner County,GA,Georgia,"0"
"40119",Payne County,OK,Oklahoma,"0"
"28113",Pike County,MS,Mississippi,"0"
"46049",Faulk County,SD,South Dakota,"0"
"28035",Forrest County,MS,Mississippi,"0"
"28041",Greene County,MS,Mississippi,"0"
"18135",Randolph County,IN,Indiana,"0"
"01007",Bibb County,AL,Alabama,"0"
"13239",Quitman County,GA,Georgia,"0"
"48369",Parmer County,TX,Texas,"0"
"49037",San Juan County,UT,Utah,"0"
"13075",Cook County,GA,Georgia,"0"
"19181",Warren County,IA,Iowa,"1"
"20017",Chase County,KS,Kansas,"0"
"22049",Jackson Parish,LA,Louisiana,"0"
"29225",Webster County,MO,Missouri,"0"
"40127",Pushmataha County,OK,Oklahoma,"0"
"48279",Lamb County,TX,Texas,"0"
"48059",Callahan County,TX,Texas,"0"
"51630",Fredericksburg city,VA,Virginia,"1"
"18059",Hancock County,IN,Indiana,"2"
"31091",Hooker County,NE,Nebraska,"0"
"47007",Bledsoe County,TN,Tennessee,"0"
"20049",Elk County,KS,Kansas,"0"
"42093",Montour County,PA,Pennsylvania,"0"
"21061",Edmonson County,KY,Kentucky,"1"
"35031",McKinley County,NM,New Mexico,"0"
"17165",Saline County,IL,Illinois,"0"
